iter	Passed	Remaining
438	3004	3839
439	3009	3830
440	3014	3820
441	3018	3810
442	3022	3800
443	3026	3790
444	3030	3779
445	3034	3769
446	3038	3759
447	3043	3750
448	3049	3741
449	3053	3732
450	3058	3722
451	3062	3712
452	3066	3702
453	3070	3692
454	3075	3683
455	3079	3673
456	3083	3663
457	3087	3653
458	3092	3644
459	3096	3634
460	3100	3624
461	3105	3616
462	3110	3608
463	3116	3599
464	3120	3590
465	3126	3582
466	3132	3574
467	3138	3567
468	3149	3565
469	3154	3557
470	3159	3549
471	3164	3539
472	3168	3530
473	3173	3521
474	3178	3512
475	3182	3503
476	3186	3494
477	3191	3485
478	3196	3476
479	3200	3467
480	3205	3459
481	3210	3450
482	3215	3442
483	3220	3433
484	3225	3425
485	3229	3415
486	3233	3406
487	3238	3397
488	3242	3388
489	3247	3380
490	3251	3371
491	3257	3363
492	3262	3355
493	3267	3346
494	3272	3338
495	3276	3329
496	3280	3320
497	3284	3311
498	3290	3303
499	3294	3294
500	3298	3285
501	3302	3276
502	3307	3268
503	3311	3258
504	3315	3250
505	3320	3242
506	3325	3233
507	3329	3224
508	3333	3215
509	3337	3207
510	3342	3198
511	3346	3189
512	3350	3180
513	3356	3173
514	3360	3164
515	3364	3155
516	3370	3148
517	3374	3140
518	3379	3131
519	3383	3122
520	3387	3114
521	3392	3106
522	3397	3098
523	3403	3092
524	3408	3083
525	3413	3075
526	3418	3067
527	3423	3060
528	3427	3051
529	3431	3042
530	3436	3034
531	3441	3027
532	3445	3018
533	3449	3010
534	3455	3003
535	3459	2994
536	3463	2986
537	3469	2979
538	3474	2971
539	3478	2963
540	3484	2956
541	3488	2948
542	3493	2939
543	3497	2931
544	3503	2925
545	3507	2916
546	3512	2908
547	3518	2901
548	3522	2893
549	3526	2885
550	3531	2877
551	3536	2870
552	3540	2861
553	3545	2854
554	3551	2847
555	3555	2839
556	3559	2831
557	3565	2823
558	3570	2816
559	3574	2808
560	3578	2800
561	3583	2792
562	3588	2785
563	3592	2777
564	3598	2770
565	3602	2762
566	3607	2754
567	3611	2747
568	3618	2740
569	3622	2733
570	3626	2725
571	3632	2718
572	3637	2710
573	3641	2702
574	3646	2695
575	3651	2688
576	3655	2680
577	3660	2672
578	3666	2665
579	3670	2657
580	3674	2650
581	3679	2643
582	3684	2635
583	3688	2627
584	3692	2619
585	3697	2612
586	3702	2604
587	3707	2597
588	3713	2591
589	3717	2583
590	3721	2575
591	3725	2567
592	3731	2561
593	3736	2554
594	3742	2547
595	3747	2540
596	3751	2532
597	3755	2524
598	3760	2517
599	3765	2510
600	3770	2503
601	3775	2495
602	3780	2489
603	3784	2481
604	3788	2473
605	3794	2466
606	3798	2459
607	3803	2452
608	3810	2446
609	3815	2439
610	3819	2431
611	3823	2424
612	3828	2417
613	3833	2409
614	3837	2402
615	3842	2395
616	3846	2387
617	3850	2380
618	3854	2372
619	3860	2365
620	3864	2358
621	3868	2350
622	3873	2343
623	3877	2336
624	3881	2329
625	3886	2321
626	3890	2314
627	3895	2307
628	3899	2299
629	3903	2292
630	3908	2285
631	3913	2278
632	3918	2272
633	3923	2265
634	3929	2258
635	3933	2251
636	3938	2244
637	3944	2238
638	3949	2231
639	3954	2224
640	3960	2217
641	3964	2210
642	3969	2204
643	3975	2197
644	3980	2190
645	3985	2183
646	3990	2177
647	3994	2170
648	4000	2163
649	4005	2156
650	4011	2150
651	4015	2142
652	4019	2135
653	4024	2129
654	4028	2121
655	4032	2114
656	4037	2107
657	4042	2101
658	4046	2093
659	4050	2086
660	4056	2080
661	4060	2073
662	4064	2065
663	4069	2059
664	4074	2052
665	4078	2045
666	4082	2038
667	4087	2031
668	4091	2024
669	4095	2017
670	4099	2010
671	4106	2004
672	4110	1997
673	4114	1989
674	4119	1983
675	4123	1976
676	4127	1969
677	4131	1962
678	4137	1956
679	4141	1949
680	4146	1942
681	4150	1935
682	4155	1928
683	4159	1921
684	4163	1914
685	4168	1908
686	4172	1901
687	4176	1894
688	4180	1887
689	4186	1880
690	4190	1874
691	4194	1867
692	4199	1860
693	4204	1853
694	4208	1846
695	4212	1839
696	4216	1833
697	4220	1826
698	4225	1819
699	4230	1812
